OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LINEAS
2918,6_5342,20190912,6,5342,POLIGONO INDUSTRIAL LA RESINA,Con Calle de Eustaquio,S,,3464,,93,330,U,28,079,07901,0790101,10568,Calle,de,San Eustaquio,N,30,,,28021,17,106,171,T07916488,0790101A01,,4,A,1,079-17-485,485,,582-1,2,3,20051018,20051130,,440560,4465068,T,,,,,T41
2919,6_5671,20190912,6,5671,GRANJA SAN ILDEFONSO-AV.QUIJORNA,,S,,3947,,,,U,28,079,07901,0790199,C0422,Calle,de,La Granja de San Indefonso,N,1,,,28031,18,025,181,T07914867,0790199999,3,3,A,2,079-18-510,510,,559-4,1,1,20071207,20071015,,447179,4469038,T,,,,,142
2920,6_5672,20190912,6,5672,GRANJA SAN ILDEFONSO-AV.VILLA VALLECAS,,S,,3948,,,,U,28,079,07901,0790199,C0422,Calle,de,La Granja de San Indefonso,N,15,,,28031,18,025,181,T07914843,0790199999,3,3,A,2,079-18-510,510,,559-4,1,1,20071207,20071015,,447204,4469061,T,,,,,"142, N9"
2921,6_5677,20190912,6,5677,PEÑARANDA BRACAMONTE-ENSANCHE VALLECAS,Frente al nº 264,S,,3953,,,,U,28,079,07901,0790199,C0397,Calle,de,Peñaranda de Bracamonte,N,26,,,28051,18,055,181,T07915153,,,3,A,1,079-18-512,512,,559-4,1,1,20071207,20071015,,448408,4469110,T,,,,,142
2922,6_5678,20190912,6,5678,PEÑARANDA BRACAMONTE-ENSANCHE VALLECAS,,S,,3954,,,,U,28,079,07901,0790199,C0397,Calle,de,Peñaranda de Bracamonte,N,26,,,28051,18,055,181,T07915105,,,3,A,1,079-18-512,512,,559-4,1,1,20071207,20071015,,448374,4469110,T,,,,,142
2923,6_5679,20190912,6,5679,AV.DE LAS SUERTES-PEÑARANDA BRACAMONTE,,S,,3955,,,,U,28,079,07901,0790199,C0375,Avda,de,Las Suertes,N,46,,,28051,18,055,181,T07915026,,,3,A,1,079-18-512,512,,559-4,1,1,20071207,20071015,,448556,4469297,T,,,,,142
2924,6_5680,20190912,6,5680,AV.DE LAS SUERTES-PEÑARANDA BRACAMONTE,Con Calle de Peñaranda de Bracamonte,S,,3956,,,,U,28,079,07901,0790199,C0375,Avda,de,Las Suertes,N,46,,,28051,18,055,181,T07914939,,,3,A,1,079-18-506,506,,559-4,1,1,20071207,20071015,,448571,4469335,T,,,,,"142, N9"
2925,6_5682,20190912,6,5682,AV.DE LAS SUERTES-JOSE GUTIERREZ MAROTO,,S,,3957,,,,U,28,079,07901,0790199,C0375,Avda,de,Las Suertes,N,66,,,28051,18,056,181,T07915257,,,3,A,1,079-18-514,514,,559-4,1,1,20071207,20071015,,449093,4468958,T,,,,,145
2926,6_5137,20190912,6,5137,ESTACION EL BARRIAL,,S,,3798,,93,153,U,28,079,07901,0790101,88888,Calle,del,Cerro de los Gamos,N,S/N,,,28023,09,072,096,T0793381,0790101990,,6,A,2,079-09-200,200,,,2,3,20040315,20050101,,431529,4479793,T,,,,,162
2927,6_5139,20190912,6,5139,AVDA.VICTORIA-PADRE HUIDOBRO,,S,,16,,,,U,28,079,07901,0790101,06354,Avda,de la,Victoria,N,25,,,28023,09,072,096,T0793022,0790101A01,5,6,A,2,079-09-200,200,,,2,3,20040315,20050101,,431168,4480093,T,,,,,162
2928,6_5141,20190912,6,5141,GUECHO-GOBELAS,,S,,14,,,,U,28,079,07901,0790101,02663,Calle,de,Guecho,N,3,,,28023,09,072,096,T0792233,0790101A01,5,6,A,2,079-09-200,200,,,2,3,20040315,20050101,,430797,4480566,T,,,,,162
2929,6_5143,20190912,6,5143,AVDA.NUESTRA SEÑORA DE BEGOÑA,,S,,12,,,,U,28,079,07901,0790101,05465,Plaza,de,San Ignacio de Loyola,N,11,,,28023,09,072,096,T0792608,0790101A01,5,6,A,2,079-09-200,200,,,2,3,20040315,20050101,,431470,4480440,T,,,,,162
2930,6_5148,20190912,6,5148,AVDA.VICTORIA-PADRE HUIDOBRO,,S,,18,,,,U,28,079,07901,0790101,06354,Avda,de la,Victoria,SN,SN,,,28023,09,072,096,T0792645,0790101A01,5,6,A,2,079-09-200,200,,,2,3,20040315,20050101,,431154,4480122,T,,,,,162
2931,6_5149,20190912,6,5149,ACCESO CTRA. DE LA CORUÑA,Con Calle de Ochandiano,S,,19,,,,U,28,079,07901,0790101,10717,Avda,del,Padre Huidobro,SN,SN,,,28023,09,072,096,T0792768,0790101A01,5,6,A,2,079-09-200,200,,,2,3,20040315,20050101,,430689,4480342,T,,,,,162
2932,6_5150,20190912,6,5150,GOBELAS-GUECHO,,S,,20,,,,U,28,079,07901,0790101,02573,Calle,de,Gobelas,N,5,,,28023,09,072,096,T0792528,0790101A01,5,6,A,2,079-09-200,200,,,2,3,20040315,20050101,,430809,4480511,T,,,,,162
2933,6_5151,20190912,6,5151,MOTRICO-LEQUEITIO,,S,,21,,,,U,28,079,07901,0790101,04222,Calle,de,Motrico,N,6,,,28023,09,072,096,T0792756,0790101A01,5,6,A,2,079-09-200,200,,,2,3,20040315,20050101,,431175,4480360,T,,,,,162
2934,6_761,20190912,6,761,PASEO YESERIAS-PARQUE ARGANZUELA,,S,,1118,Pº de Yeserías frente al Nº 33,,,U,28,079,07901,,06500,Paseo,de,Yeserías,N,6,,,28005,02,,,,,3,4,A,1,079-02-029,29,,,2,3,20010709,19861001,,440018,4472383,T,,,,,"18, N12"
2935,6_763,20190912,6,763,Pº CHOPERA-PZA.LEGAZPI,,S,,1124,"Pº de la Chopera,12  con Pza de Legazpi",92,11,U,28,079,07901,0790101,01642,Paseo,de la,Chopera,SN,SN,,,28045,02,001,021,T0799395,0790101A01,1,4,A,1,079-02-037,37,,,2,3,20010709,19861001,,441050,4471658,T,,,,,"6, 18, 78, 148, N12, N14"
2936,6_768,20190912,6,768,AV.ANDALUCIA-AV.POBLADOS,Con Avda de los Poblados,S,,1135,Av de Andalucía con Av los Poblados,93,331,U,28,079,07901,0790101,00345,Avda,de,Andalucía,SN,SN,,,28041,12,024,122,T07914685,0790101A01,,4,A,2,079-12-335,335,,,2,3,20010709,19861001,,441131,4469316,T,,,,,"18, 22, 59, 79, 85, 86, N13, N14"
2937,6_771,20190912,6,771,VERBENA PALOMA-SOTO DEL PARRAL,,S,,1141,"Verbena de la Paloma, 14",,,U,28,079,07901,,11115,Avda,de,La Verbena de la Paloma,N,16,,,28041,17,088,175,,,3,4,A,2,079-17-468,468,,,2,3,20010709,19861001,,440997,4467947,T,,,,,"18, 86"
2938,6_708,20190912,6,708,TOLEDO-LA LATINA,,S,,545,"Toledo, 54",93,248,U,28,079,07901,,06039,Calle,de,Toledo,N,54,,,28005,01,12,1,,,,5,A,1,079-01-017,17,,,2,3,20010709,19861001,,440012,4473874,T,,,,,"17, 18, 23, 35, N26"
2939,6_645,20190912,6,645,ALCALA-AV.MENEDEZ PELAYO,,S,,751,"Alcalá, 70",93,301,U,28,079,07901,,00132,Calle,de,Alcalá,N,66,,,28009,04,014,041,T0798652,,,1,A,1,079-04-074,74,,559-2,2,3,20010709,19861001,,442317,4475050,T,,,,,"15, 52, 146, N2, N3, N5, N7"
2940,6_647,20190912,6,647,NARVAEZ-O DONNELL,,S,,2154,"Narvaez, 28",,,U,28,079,07901,,04258,Calle,de,Narváez,N,30,,,28009,03,66,4,,,1,3,A,1,079-03-048,48,,,2,3,20010709,19861001,,442748,4474916,T,,,,,"15, 26, 61, 63, 215, C1"
2941,6_649,20190912,6,649,SAINZ DE BARANDA-NARVAEZ,,S,,2158,"Alcalde Sainz de Baranda, 20",,,U,28,079,07901,,00140,Calle,del,Alcalde Sáinz de Baranda,N,22,,,28009,03,,,,,1,3,A,1,079-03-048,48,,,2,3,20010709,19861001,,442787,4474444,T,,,,,"2, 15, 215"
2942,6_650,20190912,6,650,SAINZ DE BARANDA-DR.ESQUERDO,,S,,2162,"Alcalde Sainz de Baranda, 64",93,324,U,28,079,07901,,00140,Calle,del,Alcalde Sáinz de Baranda,N,64,,,28009,03,88,6,,,,3,A,1,079-03-056,56,,,2,3,20010709,19861001,,443276,4474402,T,,,,,"2, 15, 215"
2943,6_651,20190912,6,651,SAINZ DE BARANDA-MARQUES DE LOZOYA,,S,,2164,"Alcalde Sainz de Baranda, 72",,,U,28,079,07901,,00140,Calle,del,Alcalde Sáinz de Baranda,N,72,,,28007,03,45,3,,,1,3,A,1,079-03-051,51,,,2,3,20010709,19861001,,443462,4474476,T,,,,,"15, 215"
2944,6_654,20190912,6,654,AV.MQUES.CORBERA-R.ORTIZ,,S,,958,"Av. Marqués de Corbera, 8",,,U,28,079,07901,,03858,Avda,del,Marqués de Corbera,N,10,,,28017,15,016,151,,,4,1,A,2,079-15-428,428,,,2,3,20010709,19861001,,444492,4475102,T,,,,,"15, 28, 110, 210, N6"
2945,6_655,20190912,6,655,AV.MQUES.CORBERA Nº 30,,S,,960,"Av. Marqués de Corbera, 30",,,U,28,079,07901,,03858,Avda,del,Marqués de Corbera,N,32,,,28017,15,016,151,,,4,1,A,2,079-15-428,428,,,2,3,20010709,19861001,,444681,4475277,T,,,,,"15, 28, 110, 210, N6"
2946,6_656,20190912,6,656,AV.MQUES.CORBERA Nº 48,,S,,962,"Av. Marqués de Corbera, 46",,,U,28,079,07901,,03858,Avda,del,Marqués de Corbera,N,48,,,28017,15,015,151,T0798294,,,1,A,1,079-15-428,428,,559-2,2,3,20010709,19861001,,444833,4475424,T,,,,,"15, 28, 110, 210, N6"
2947,6_660,20190912,6,660,AV.MQUES.CORBERA Nº 49,,S,,963,"Av. Marqués de Corbera, 49",93,244,U,28,079,07901,,03858,Avda,del,Marqués de Corbera,N,49,,,28017,15,020,151,T0798248,,,1,A,2,079-15-427,427,,,2,3,20010709,19861001,,444814,4475444,T,,,,,"15, 28, 110, 210"
2948,6_661,20190912,6,661,AV.MQUES.CORBERA Nº 27,,S,,961,"Av. Marqués de Corbera, 27",,,U,28,079,07901,,03858,Avda,del,Marqués de Corbera,N,27,,,28017,15,020,151,,,4,1,A,2,079-15-427,427,,,2,3,20010709,19861001,,444637,4475278,T,,,,,"15, 28, 110, 210, N6"
2949,6_5013,20190912,6,5013,Pº STA.Mª DE LA CABEZA-PALOS FRONTERA,,S,,1926,,93,287,U,28,079,07901,0790101,99999,Paseo,de,Santa María de la Cabeza,N,44,,,28045,02,073,026,T07910683,,,4,A,1,079-02-030,30,,559-3,2,3,20030411,20030308,,440956,4472983,T,,,,,"6, 59, 85, N14"
2950,6_5014,20190912,6,5014,CALLE DE EMBAJADORES,,S,,1168,,92,181,U,28,079,07901,0790101,01924,Calle,de,Embajadores,N,146,D,,28045,02,041,023,T07911163,0790101A01,,4,A,1,079-02-038,38,,,2,3,20030411,20030308,,440953,4472296,T,,,,,"59, 85"
2951,6_5016,20190912,6,5016,PEDROÑERAS-SILVANO,,S,,467,,,,U,28,079,07901,0790101,11928,Plaza,de,Andrés Jaúregui,N,4,,,28043,16,025,163,T0792957,,4,1,A,2,079-16-456,456,,,2,3,20030414,19990101,,446733,4479544,T,,,,,120
2952,6_5018,20190912,6,5018,CALLE DE CARAMUEL,Frente al nº 7,S,,5347,,,,U,28,079,07901,0790101,01080,Calle,de,Caramuel,SN,SN,,,28011,10,006,101,T07910186,,3,5,A,2,079-10-267,267,,,2,3,20030415,20021201,,438150,4473284,T,,,,,119
2953,6_3393,20190912,6,3393,MAQUEDA-VALMOJADO,Con Calle de Valmojado,S,,2277,Maqueda con C/ Valmojado,90,1,U,28,079,07901,0790101,08809,Calle,de,Ocaña,N,1,,,28047,10,095,104,T07913067,,,5,A,1,079-10-256,256,,559-3,2,3,20010709,19861001,,435613,4471084,T,,,,,31
2954,6_5026,20190912,6,5026,GINZO DE LIMIA-GTA.REALES ACADEMIAS,,S,,5329,,,,U,28,079,07901,0790101,09113,Calle,de,Ginzo de Limia,N,58,C,,28029,08,099,085,T0791456,0790101A01,,7,A,2,079-08-196,196,,,2,3,20030422,20021122,,440391,4481611,T,,,,,"49, 134"
2955,6_5029,20190912,6,5029,RIBERA DEL LOIRA-TOMAS REDONDO,,S,,5342,,,,U,28,079,07901,0790101,11885,Calle,de la,Ribera del Sena,N,1,,,28033,16,096,166,T0792937,,,2,A,1,079-16-441,441,,559-2,2,3,20030422,20021218,,447001,4480163,T,,,,,104
2956,6_5030,20190912,6,5030,EMIGRANTES-AREQUIPA,,S,,4910,,,,U,28,079,07901,,10858,Calle,de los,Emigrantes,N,13,,,28043,16,032,163,T0792935,,4,1,A,2,079-16-455,455,,,2,3,20030422,20021231,,446023,4480181,T,,,,,"112, 153"
2957,6_5032,20190912,6,5032,NARVÁEZ-AVENIDA FELIPE II,,S,,5298,,91,61,U,28,079,07901,0790101,04258,Calle,de,Narváez,N,2,,,28009,04,019,042,T0798386,0790101A01,1,1,A,1,079-04-075,75,,,2,3,20030424,20020914,,442774,4475280,T,,,,,215
2958,6_1781,20190912,6,1781,PZA.MANUEL BECERRA-DOCTOR ESQUERDO,,S,,1428,"Pza. de Manuel Becerra, 16",91,41,U,28,079,07901,0790101,01736,Calle,del,Doctor Esquerdo,N,1,,,28028,04,057,043,T0797850,0790101464,1,1,A,1,079-04-077,77,,559-2,2,3,20010709,19861001,,443426,4475636,T,,,,,"12, 56, 143, 156, C2"
2959,6_266,20190912,6,266,AV.RAFAELA YBARRA-R.BELTRAN ROZPIDE,,S,,4815,Rafaela Ybarra- Ricardo Beltrán Rozpide,,,U,28,079,07901,0790101,09464,Avda,de,Rafaela Ybarra,N,83,,,28026,12,086,127,T07913535,,3,4,A,2,079-12-322,322,,,2,3,20010709,19861001,,439666,4469921,T,,,,,"6, 60, 81, N15"
2960,6_851,20190912,6,851,ALCALA-PZA.MANUEL BECERRA,,S,,684,"Alcalá, 199",91,41,U,28,079,07901,0790101,00132,Calle,de,Alcalá,N,197,,,28028,04,061,044,T0797599,0790101390,1,1,A,1,079-04-073,73,,559-2,2,3,20010709,19861001,,443465,4475761,T,,,,,"21, 38, 53, 106, 110, 146, 210, N5, N7"
2961,6_270,20190912,6,270,PZA.DEL HIDROGENO,,S,,1946,Pza. del Hidrógeno,,,U,28,079,07901,,02772,Plaza,del,Hidrógeno,N,5,,,28026,12,092,127,,,3,4,A,2,079-12-320,320,,,2,3,20010709,19861001,,440023,4470717,T,,,,,6
2962,6_271,20190912,6,271,DOLORES BARRANCO-OLVIDO,Frente al nº 2,S,,1944,Dolores Barranco frente al Nº 2,,,U,28,079,07901,0790101,01779,Calle,de,Dolores Barranco,SN,SN,,,28026,12,045,124,T07913217,,3,4,A,2,079-12-323,323,,,2,3,20010709,19861001,,440468,4470742,T,,,,,6
2963,6_273,20190912,6,273,SANTUARIO-SAN ANTONIO PADUA,,S,,5358,Santuario con C/ Hijas de Jesús,,,U,28,079,07901,0790101,00229,Calle,de,Almendrales,N,43,,,28026,12,051,124,T07912928,,3,4,A,2,079-12-323,323,,,2,3,20010709,19861001,,440692,4470940,T,,,,,"6, 78"
2964,6_579,20190912,6,579,MARIA DE MOLINA-PRINCIPE DE VERGARA,,S,,790,"María de Molina, 41",90,4,U,28,079,07901,0790101,03799,Calle,de,María de Molina,N,41,,,28006,05,014,052,T0796600,0790101374,1,1,A,1,079-05-103,103,,559-2,2,3,20010709,19861001,,442568,4476750,T,,,,,12
2965,6_275,20190912,6,275,PZA.DE LEGAZPI-MAESTRO ARBOS,,S,,1425,Pº del Molino frente al Nº 5,92,11,U,28,079,07901,0790101,03410,Plaza,de,Legazpi,N,3,,,28045,02,100,024,T07912508,,,4,A,1,079-02-042,42,,559-3,2,3,20010709,19861001,,441113,4471563,T,,,,,"22, 79, 123"
2966,6_277,20190912,6,277,JAIME EL CONQUISTADOR-EUGENIO SELLES,,S,,1934,"Jaime el Conquistador, 23",,,U,28,079,07901,,03012,Calle,de,Jaime el Conquistador,N,21,,,28045,02,41,3,,,1,4,A,1,079-02-038,38,,,2,3,20010709,19861001,,440863,4472157,T,,,,,"6, 78, 148, N14"
2967,6_202,20190912,6,202,GRAL.VARELA-GRAL.YAGUE,,S,,1910,"General Varela, frente al Nº 19",,,U,28,079,07901,0790101,02533,Calle,del,General Varela,N,22,,,28020,06,049,062,T0794444,0790101262,1,6,A,1,079-06-116,116,,559-1,2,3,20010709,19861001,,441163,4478808,T,,,,,5
2968,6_280,20190912,6,280,FERROCARRIL Nº 13,,S,,1930,"Ferrocarril, 13",92,181,U,28,079,07901,,02211,Calle,del,Ferrocarril,N,13,,,28045,02,062,025,T07911144,,,4,A,1,079-02-039,39,,559-3,2,3,20010709,19861001,,441098,4472669,T,,,,,"6, 55, N14"
2969,6_1495,20190912,6,1495,AVDA. GRAL. PERON,,S,,2385,"Av. General Perón, 3",,,U,28,079,07901,0790101,02518,Avda,del,General Perón,N,6,,,28020,06,044,062,T0794741,0790101262,1,6,A,1,079-06-116,116,,559-1,2,3,20010709,19861001,,440884,4478447,T,,,,,43
2970,6_284,20190912,6,284,ATOCHA-COSTANILLA DESAMPARADOS,,S,,1923,"Atocha, 87",,,U,28,079,07901,,00645,Calle,de,Atocha,N,85,A,,28014,01,,,,,1,5,A,1,079-01-021,21,,,2,3,20010709,19861001,,440957,4473866,T,,,,,"6, 26, 32"
2971,6_290,20190912,6,290,GRAL.MTNEZ.CAMPOS-FORTUNY,,S,,529,Pº General Martínez Campos frente Nº47,,,U,28,079,07901,0790101,02508,Paseo,del,General Martínez Campos,N,46,,,28010,07,001,071,,,1,6,A,1,079-07-135,135,,,2,3,20010709,19861001,,441535,4476485,T,,,,,"7, 16, 40, 61, 147"
2972,6_292,20190912,6,292,PZA.DOCTOR MARAÑON,,S,,56,"Pº Castellana, 70 (Pza Dr. Marañón)",92,223,U,28,079,07901,,01753,Plaza,del,Doctor Marañón,N,70 ,,,28046,05,002,051,T0796531,,,1,A,1,079-05-100,100,,559-1,2,3,20010709,19861001,,441541,4476841,T,,,,,"7, 14, 27, 40, 147, 150, N22, N24"
2973,6_297,20190912,6,297,AV.DOCTOR ARCE-VELAZQUEZ,,S,,5318,"Doctor Arce, 10",,,U,28,079,07901,,01722,Avda,del,Doctor Arce,N,10,,,28002,05,,,,,1,1,A,1,079-05-096,96,,,2,3,20010709,19861001,,442185,4477672,T,,,,,7
2974,6_298,20190912,6,298,VELAZQUEZ Nº 150,,S,,432,"Velázquez, 150",93,312,U,28,079,07901,,06266,Calle,de,Velázquez,N,150,,,28002,05,1,1,,,,1,A,1,079-05-101,101,,,2,3,20010709,19861001,,442227,4477366,T,,,,,"16, 19, 51, N1"
2975,6_300,20190912,6,300,AV.DR.ARCE-PZA.SANTA GEMA,,S,,416,"Av. Dr. Arce, 26",93,179,U,28,079,07901,,01722,Avda,del,Doctor Arce,N,24,,,28002,05,001,051,,,,1,A,1,079-05-096,96,,,2,3,20010709,19861001,,442402,4477850,T,,,,,"7, 16, 19, 51, N1"
2976,6_304,20190912,6,304,SERRANO-PRINCIPE VERGARA,,S,,437,"Serrano, 240",,,U,28,079,07901,,05757,Calle,de,Serrano,N,240,,,28016,05,62,4,,,1,1,A,1,079-05-093,93,,,2,3,20010709,19861001,,442643,4478645,T,,,,,"7, 51"
2977,6_305,20190912,6,305,PRINCIPE DE VERGARA-COLOMBIA,,S,,439,,93,77,U,28,079,07901,0790101,02511,Calle,del,Príncipe de Vergara,N,268,,,28016,05,59,4,,0790101A01,,1,A,1,079-05-094,94,,,2,3,20010709,19861001,,442730,4479011,T,,,,,"7, 16, 29, 51, N1"
2978,6_309,20190912,6,309,ARTURO SORIA 212,,S,,217,"Arturo Soria, 212",,,U,28,079,07901,,00582,Calle,de,Arturo Soria,N,212,A,,28033,15,158,157,T0793711,,,1,A,1,079-15-400,400,,559-2,2,3,20010709,19861001,,443954,4479341,T,,,,,"7, 11, 70"
2979,6_310,20190912,6,310,ARTURO SORIA-MANUEL URIBE,,S,,216,"Arturo Soria, 230",,,U,28,079,07901,,00582,Calle,de,Arturo Soria,N,230,,,28033,15,159,158,T0793480,,4,1,A,2,079-15-399,399,,,2,3,20010709,19861001,,443720,4479675,T,,,,,"7, 70"
2980,6_312,20190912,6,312,ARTURO SORIA-JULIO DANVILA,,S,,497,"Arturo Soria, 272",,,U,28,079,07901,,00582,Calle,de,Arturo Soria,N,278,,,28033,15,160,159,T0792547,,4,1,A,2,079-15-398,398,,,2,3,20010709,19861001,,443566,4480490,T,,,,,"7, 29, 107, N1"
2981,6_316,20190912,6,316,CUEVAS DE ALMANZORA-AV.SAN LUIS,Parque Municipal,S,,505,"Cuevas de Almanzora, frente al Nº 5",,,U,28,079,07901,0790101,01616,Calle,de,Cuevas de Almanzora,SN,SN,,,28033,16,082,165,T0792156,,4,1,A,2,079-16-443,443,,,2,3,20010709,19861001,,443888,4480747,T,,,,,"7, N1"
2982,6_317,20190912,6,317,CUEVAS DE ALMANZORA-BACARES,Frente al nº 113,S,,507,37,,,U,28,079,07901,0790101,01616,Calle,de,Cuevas de Almanzora,SN,SN,,,28033,16,079,165,T0791929,,4,1,A,2,079-16-443,443,,,2,3,20010709,19861001,,444095,4480944,T,,,,,"7, 29, 129, N1"
2983,6_2016,20190912,6,2016,RAIMUNDO FDEZ.VILLAVERDE-Pº CASTELLANA,Con Paseo de la Castellana,S,,2696,Raimundo Fdez Villaverde- Pº Castellana,90,71,U,28,079,07901,0790101,05080,Calle,de,Raimundo Fernández Villaverde,SN,SN,,,28046,07,001,071,T0797328,0790101A01,1,6,A,1,079-07-125,125,,,2,3,20010709,19861001,,441430,4477708,T,,,,,C1
2984,6_2224,20190912,6,2224,PAQUETE EXPRES-EST.CHAMARTIN,Con Avda Pío XII,S,,2790,Paquete Express frente Tansformador Luz,,,U,28,079,07901,0790101,00710,Calle,del,Bambú,SN,SN,,,28036,05,001,051,,,1,1,A,1,079-05-083,83,,,2,3,20010709,19861001,,442647,4480814,T,,,,,T62
2985,6_3326,20190912,6,3326,AVDA. BUENOS AIRES,,S,,3302,"Av. de Buenos Aires, 76",,,U,28,079,07901,,45192,Calle,de,Cleopatra,N,23,,,28018,13,210,133,,,3,3,A,2,079-13-360,360,,,2,3,20010709,19861001,,444668,4470613,T,,,,,136
2986,6_3358,20190912,6,3358,VALMOJADO Nº 209,,S,,1483,"Valmojado, 209",,,U,28,079,07901,,08718,Calle,de,Valmojado,N,231,,,28047,10,111,104,,,3,5,A,2,079-10-256,256,,,2,3,20010709,19861001,,435724,4471421,T,,,,,
2987,6_3363,20190912,6,3363,SEPULVEDA-BERLANAS,,S,,1473,Sepúlveda con C/ Berlanas,,,U,28,079,07901,0790101,05744,Calle,de,Sepúlveda,SN,SN,,,28011,10,213,103,T07910498,,3,5,A,2,079-10-261,261,,,2,3,20010709,19861001,,436248,4472885,T,,,,,
2988,6_2462,20190912,6,2462,AVENA-R.BELTRAN ROZPIDE,,S,,4620,"Avena, 20",,,U,28,079,07901,,11814,Calle,de la,Avena,N,22,,,28026,12,098,126,,,3,4,A,2,079-12-319,319,,,2,3,20010709,19861001,,439337,4469949,T,,,,,78
2989,6_2469,20190912,6,2469,Pº ALAMEDA OSUNA-RAMBLA,Calle de la Rambla,S,,2980,"Pº de la Alameda de Osuna, 54",93,202,U,28,079,07901,0790101,00094,Paseo,de la,Alameda de Osuna,SN,SN,,,28042,21,001,211,T0794032,0790101A01,,2,A,2,079-21-582,582,,,2,3,20010709,19861001,,449669,4478674,T,,,,,"101, 105, 151"
2990,6_3208,20190912,6,3208,CERRO NEGRO-JATIVA,Frente al nº 3,S,,3371,"Cerro Negro, 8",,,U,28,079,07901,0790101,01321,Calle,del,Cerro Negro,N,3,,,28007,03,025,032,T07911411,,,3,A,1,079-03-064,64,,559-4,2,3,20010709,19861001,,443162,4472315,T,,,,,"113, 148"
2991,6_3075,20190912,6,3075,SIERRA TOLEDANA,,S,,3330,Sierra Toledana frente al Nº 21,,,U,28,079,07901,,05844,Calle,de,Sierra Toledana,N,29,,,28038,13,202,136,,,3,3,A,2,079-13-340,340,,,2,3,20010709,19861001,,444093,4472785,T,,,,,141
2992,6_3080,20190912,6,3080,RAMON PEREZ AYALA-BENJAMIN PALENCIA,,S,,3327,"Ramón Pérez de Ayala, 142",,,U,28,079,07901,,10844,Calle,de,Ramón Pérez de Ayala,N,150,,,28038,13,178,136,T07911459,,,3,A,1,079-13-342,342,,559-4,2,3,20010709,19861001,,444664,4472307,T,,,,,141
2993,6_5351,20190912,6,5351,SAN EZEQUIEL-AV.REAL DE PINTO,,S,,3501,,,,U,28,079,07901,0790101,45320,Calle,de,San Ezequiel,N,2,,,28021,17,106,171,T07916459,0790101A01,,4,A,1,079-17-484,484,,solape,2,3,20051020,20051130,,439519,4465239,T,,,,,T41
2994,6_5352,20190912,6,5352,VALLE DE TOBALINA-MONTEJO,,S,,3551,,,,U,28,079,07901,0790101,45300,Calle,del,Valle de Tobalina,N,22,,,28021,17,106,171,T07916457,,,4,A,1,079-17-484,484,,559-3,2,3,20051020,20051130,,439357,4465451,T,,,,,T41
2995,6_5353,20190912,6,5353,VALLE DE TOBALINA-BASCUÑUELOS,BASCUÑUELOS,S,,3553,,,,U,28,079,07901,0790101,45300,Calle,del,Valle de Tobalina,N,32,,,28021,17,106,171,T07916352,,,4,A,1,079-17-484,484,,559-3,2,3,20051020,20051130,,439362,4465715,T,,,,,T41
2996,6_2463,20190912,6,2463,Cº VIEJO DE VICALVARO-PZA.ALOSNO,,S,,1062,"Cº Viejo de Vicálvaro, 7",,,U,28,079,07901,,06319,Cmno,,Viejo de Vicálvaro,N,7,,,28032,19,028,192,,,4,3,A,2,079-19-524,524,,,2,3,20010709,19861001,,447803,4473153,T,,,,,"100, 130"
2997,6_2715,20190912,6,2715,HORNACHOS-MONTANCHEZ,,S,,2937,"Hornachos, 1",,,U,28,079,07901,,09751,Calle,de,Hornachos,N,1,,,28053,13,013,131,,,3,3,A,2,079-13-373,373,,,2,3,20010709,19861001,,443276,4469725,T,,,,,"102, 111"
2998,6_2729,20190912,6,2729,ARROYO MEDIA LEGUA-Cº VINATEROS,,S,,3102,"Arroyo de Media Legua, 60",,,U,28,079,07901,,00606,Calle,del,Arroyo de la Media Legua,N,66,,,28030,14,030,144,T0799592,,,3,A,1,079-14-380,380,,559-4,2,3,20010709,19861001,,444575,4473853,T,,,,,113
2999,6_2775,20190912,6,2775,MANOJO DE ROSAS-PQUE.KATIUSKA,,S,,3148,"La del Manojo de Rosas, 25",,,U,28,079,07901,,11120,Calle,de,La del Manojo de Rosas,N,37,,,28041,17,088,175,,,3,4,A,2,079-17-468,468,,,2,3,20010709,19861001,,440907,4468029,T,,,,,116
